trace_id,created_at,entity_type,entity_id,signal,triggered_rule,evidence,business_impact,generated_action,confidence_level,run_id,generated_at
TRC-0000000001,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-B84350D4,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000002,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-4D395DDE,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000003,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-5D77EFC9,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000004,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-66FE4E37,"Low NPS, High Support Burden",Risk band: High,"Risk drivers: Low NPS, High Support Burden.",$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000005,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-9A60DED1,"Low NPS, Failed Payments",Risk band: High,"Risk drivers: Low NPS, Failed Payments.",$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000006,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-D3B021DA,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000007,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-1BA54B0F,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000008,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-9EF94C07,"Low NPS, Failed Payments, High Support Burden",Risk band: Critical,"Risk drivers: Low NPS, Failed Payments, High Support Burden.",No direct revenue at risk identified,Escalate to churn prevention workflow,High,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000009,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-C280B940,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000010,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-F2D6AB8C,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000011,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-BC447D50,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000012,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-5BEA698E,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000013,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-93D5D028,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000014,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-12F57229,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000015,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-376CE362,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000016,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-5A18A787,"Low NPS, Failed Payments",Risk band: High,"Risk drivers: Low NPS, Failed Payments.",$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000017,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-8B8ECE62,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000018,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-846A8ED0,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000019,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-8B59858E,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000020,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-FB33E508,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000021,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-9FADF576,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000022,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-1B5821AF,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000023,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-C903E7D0,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,"$1,999.00 revenue at risk",Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000024,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-0D41E8EE,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000025,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-0EA0AC68,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000026,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-32AF6D55,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000027,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-D1786905,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000028,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-085EA84A,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000029,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-8C428601,"Low NPS, Failed Payments",Risk band: High,"Risk drivers: Low NPS, Failed Payments.",No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
